Name,ID,DatesInOffice,Bio,ImageFileName,Terms,TimeInOfficeDays,AgeAtPM,TimeAsMPYears,Majority,Peerage,,years,days,total days
Robert Walpole,01,1721-1742,"The first to hold the office of Prime Minister, he guided Britain through peace, consolidated cabinet rule, and defined traditions that shaped balance between Crown and Commons. ",01_Robert_Walpole.png,"""1721-04-03 to 1742-02-11""",7664,44,41,389,Earl,,20,314,7664
Spencer Compton,02,1742-1743,"He provided steady leadership during a fragile transition, balancing rival factions and preserving continuity, though his tenure was marked more by compromise than bold innovation. ",02_Spencer_Compton.png,"""1742-02-16 to 1743-07-02""",501,68,29,373,Earl,,1,136,501
Henry Pelham,03,1743-1754,"He cut debt and taxes, improved financial control, and secured peace abroad, leaving a legacy of stability and cautious reform that strengthened Britain's government after a costly war.",03_Henry_Pelham.png,"""1743-08-27 to 1754-03-06""",3851,48,36,368,None,,10,191,3851
Thomas Pelham-Holles,04,1754-1756; 1757-1762,"He dominated politics through patronage and long service, securing majorities and managing elections, yet his leadership faltered abroad, due to weak diplomacy in war, exposing his limits of authority. ",04_Thomas_Pelham-Holles.png,"""1757-05-16 to 1762-05-26; 1754-03-06 to 1756-11-25""",2272,60,7,400,Duke,,6,82,2272
William Cavendish,05,1756-1757,"He offered cautious leadership during a wartime crisis, acting as a caretaker who preserved stability and unity, but left little lasting imprint beyond bridging factions until stronger figures emerged. ",05_William_Cavendish.png,"""1756-11-11 to 1757-06-08""",225,36,2,400,Duke,,0,225,225
John Stuart,06,1762-1763,"He rose as royal favourite and briefly led government, facing hostility and intrigue, and lacked parliamentary support, so his short tenure ended amid fierce opposition despite peace secured abroad. ",06_John_Stuart.png,"""1762-05-26 to 1763-04-08""",317,49,14,260,None,,0,317,317
George Grenville,07,1763-1765,"He strengthened finances and sought colonial revenue, but his measures provoked resistance, leaving a legacy of taxation disputes that strained Britain's imperial tie. ",07_George_Grenville.png,"""1763-04-16 to 1765-07-13""",815,50,29,370,None,,2,85,815
Charles Watson-Wentworth,08,1765-1766; 1782,"He twice held office, remembered for repealing divisive colonial taxes and seeking conciliation abroad. Yet his brief leadership left little enduring imprint beyond easing tensions during a turbulent period. ",08_Charles_Watson-Wentworth.png,"""1782-03-27 to 1782-07-01; 1765-07-13 to 1766-07-30""",513,35,11,340,Marquess,,1,148,513
William Pitt ''the Elder'',09,1766-1768,"He rose as a commanding war leader, driving victories that expanded Britain's empire. Yet his later ministry faltered through illness and discord, leaving a legacy of oratory and imperial ambition. ",09_William_Pitt_the_Elder.png,"""1766-07-30 to 1768-10-14""",806,57,31,340,Earl,,2,76,806
Augustus FitzRoy,10,1768-1770,"He offered unstable leadership during factional strife, weakened by scandal over his private life and poor alliances. His very short tenure is remembered more for turbulence than achievement. ",10_Augustus_FitzRoy.png,"""1768-10-14 to 1770-01-28""",471,33,1,340,Duke,,1,106,471
Frederick North,11,1770-1782,"He managed government with skill and loyalty, but his long tenure was overshadowed by colonial unrest, remembered chiefly for losing America despite steady administration at home. ",11_Frederick_North.png,"""1770-01-28 to 1782-03-20""",4418,37,36,260,Earl,,12,58,4418
William Petty,12,1782-1783,"He briefly led government after America's loss, securing peace through negotiation, but lacked support in Parliament, so his short tenure ended quickly despite notable diplomatic achievement. ",12_William_Petty.png,"""1782-07-04 to 1783-03-31""",265,45,1,300,Marquess,,0,265,265
William Cavendish-Bentinck,13,1783; 1807-1809,"He twice held office, remembered more for compromise than command, briefly guiding government through factional deals, having served only a short time as MP before entering the Lords. ",13_William_Cavendish-Bentinck.png,"""1807-03-31 to 1809-10-04; 1783-04-02 to 1783-12-19""",1351,45,1,300,Duke,,3,191,1351
William Pitt ''the Younger'',14,1783-1801; 1804-1806,"He became the youngest premier, restoring finances and strengthening administration, but his long tenure was defined by war with France, leaving a legacy of reform attempts amid enduring conflict. ",14_William_Pitt_the_Younger.png,"""1804-05-10 to 1806-01-23; 1783-12-19 to 1801-03-14""",6613,24,25,380,None,,18,43,6613
Henry Addington,15,1801-1804,"He offered steady leadership as a stopgap, and brokered peace with France. But his short tenure reflected limited authority, leaving little lasting imprint beyond temporary respite from war. ",15_Henry_Addington.png,"""1801-03-14 to 1804-05-10""",1149,43,21,380,Viscount,,3,54,1149
William Wyndham Grenville,16,1806-1807,"He briefly led government, remembered for abolishing the slave trade, but his short tenure ended amid factional weakness, leaving a legacy defined more by principle than sustained authority. ",16_William_Wyndham_Grenville.png,"""1806-02-11 to 1807-03-25""",407,47,8,400,Baron,,1,42,407
Spencer Perceval,17,1809-1812,He led with steadiness during  the Napoleonic war. He is remembered as the only premier  assassinated. His tenure was cut short before leaving before shaping a fuller legacy. ,17_Spencer_Perceval.png,"""1809-10-04 to 1812-05-11""",949,47,16,350,None,,2,219,949
Robert Jenkinson,18,1812-1827,"He steered the government with long stability, and guided Britain through post- Napoleonic change. He is  remembered for endurance and order, rather than any bold reform. ",18_Robert_Jenkinson.png,"""1812-06-08 to 1827-04-10""",5403,42,13,400,Earl,,14,305,5403
George Canning,19,1827,"He brought energy and vision, advancing liberal foreign policy, but his premiership lasted only months, cut short by illness and death before shaping a fuller legacy. ",19_George_Canning.png,"""1827-04-10 to 1827-08-08""",118,57,34,400,None,,0,118,118
Frederick Robinson,20,1827-1828,He briefly led after Canning and is remembered for weak rule and poor control. His premiership ended within months as fragile allies and royal distrust exposed his limits. ,20_Frederick_Robinson.png,"""1827-08-31 to 1828-01-22""",143,49,23,400,Earl,,0,143,143
Arthur Wellesley,21,1828-1830; 1834,"He twice served as premier, famed more for war glory than politics. He  reluctantly passed the Catholic Emancipation. His short governments marked by caution and struggle to adapt Britain. ",21_Arthur_Wellesley.png,"""1828-01-22 to 1830-11-16; 1827-01-22 to 1827-04-10""",1033,59,6,400,Duke,,2,303,1033
Charles Grey,22,1830-1834,He led a reforming drive with the 1832 Reform Act and abolition of slavery. His government reshaped Britain's politics. His tenure ended amid party splits and strain. Also famed for his Earl Grey tea.,22_Charles_Grey.png,"""1830-11-22 to 1834-07-16""",1324,66,21,491,Earl,,3,229,1324
William Lamb,23,1834; 1835-1841,"He twice served as premier, and is remembered for steady if cautious rule, guiding early Victorian politics. His governments marked more by royal counsel to Queen Victoria than bold reform. ",23_William_Lamb.png,"""1835-04-08 to 1841-08-30; 1834-07-16 to 1834-11-14""",2229,55,33,390,Viscount,,6,63,2229
Robert Peel,24,1834-1835; 1841-1846,He twice served as premier and it remembered for founding the police and ending the Corn Laws. His rule is marked by reform and reshaping Conservatism yet splitting the party over trade. ,24_Robert_Peel.png,"""1841-08-30 to 1846-06-29; 1834-12-10 to 1835-04-08""",2023,46,41,367,Knighthood,,5,198,2023
John Russell,25,1846-1852; 1865-1866,"He twice served as premier, and is remembered for leading Whig reform, central to the 1832 Reform Act, his governments marked by division yet steady liberal drive shaping early Victorian politics.",25_John_Russell.png,"""1865-10-18 to 1866-07-03; 1846-07-30 to 1852-02-21""",2330,54,48,377,Earl,,6,110,2330
George Hamilton-Gordon,26,1852-1855,"He was cautious in diplomacy yet weak in leadership, his government collapsed amid divisions and mismanagement of the Crimean War, ending his career in failure. ",26_George_Hamilton-Gordon.png,"""1852-12-19 to 1855-02-06""",772,68,36,325,Earl,,2,42,772
Henry John Temple,27,1855-1858; 1859-1865,"Energetic & populist, he dominated mid- Victorian politics with bold diplomacy and liberal drive, projecting British power abroad while securing popularity at home despite party divisions. ",27_Henry_John_Temple.png,"""1859-06-12 to 1865-10-18; 1855-02-06 to 1858-02-19""",3540,70,58,377,Viscount,,9,250,3540
Edward Smith-Stanley,28,1852; 1858-1859; 1866-1868,"Three-time premier, cautious in reform yet pragmatic. He is, defined by the Second Reform Act, steady party management, and shaping his party more than national vision.",28_Edward_Smith-Stanley.png,"""1866-07-03 to 1868-02-27; 1858-02-20 to 1859-06-11""",1340,53,36,376,Earl,,3,280,1340
Benjamin Disraeli,29,1868; 1874-1880,"Charismatic and ambitious, he reshaped Conservatism with imperial vision and social reform, the Second Reform Act, and projecting Britain's power abroad through confident leadership",29_Benjamin_Disraeli.png,"""1874-02-17 to 1880-04-23; 1868-02-27 to 1868-12-03""",2228,64,36,418,Earl,,6,63,2228
